# Pathway	D_DSS_Abundance
PWY-5097: L-lysine biosynthesis VI|g__Parabacteroides.s__Parabacteroides_distasonis	80.5567202338
PWY-5097: L-lysine biosynthesis VI|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	61.9137999359
PWY-5097: L-lysine biosynthesis VI|g__Alistipes.s__Alistipes_timonensis	43.8358513575
PWY-5097: L-lysine biosynthesis VI|g__Muribaculum.s__Muribaculum_intestinale	21.8687879334
PWY-5097: L-lysine biosynthesis VI|g__Lactobacillus.s__Lactobacillus_reuteri	17.4832929521
PWY-5097: L-lysine biosynthesis VI|g__Helicobacter.s__Helicobacter_hepaticus	13.8091175855
PWY-5097: L-lysine biosynthesis VI|g__Escherichia.s__Escherichia_coli	13.3867028820
PWY-5097: L-lysine biosynthesis VI|g__Lactobacillus.s__Lactobacillus_murinus	13.1599170029
PWY-5097: L-lysine biosynthesis VI|g__Clostridium.s__Clostridium_sp_ASF502	9.0356868988
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	3557.0455017724
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|unclassified	1501.7847333620
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_caecimuris	495.7500484627
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	403.2197641757
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Prevotella.s__Prevotella_sp_MGM2	371.8333361459
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii	268.5222180764
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Alistipes.s__Alistipes_timonensis	55.5533236088
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	47.7580871107
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Muribaculum.s__Muribaculum_intestinale	22.1571003311
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Helicobacter.s__Helicobacter_hepaticus	13.7664355514
GLUCONEO-PWY: gluconeogenesis I	3551.4196224440
GLUCONEO-PWY: gluconeogenesis I|unclassified	1832.3696004542
GLUCONEO-PWY: gluconeogenesis I|g__Helicobacter.s__Helicobacter_typhlonius	381.3453559287
PWY66-400: glycolysis VI (metazoan)	3478.8603437838
PWY66-400: glycolysis VI (metazoan)|unclassified	1715.4447740188
PWY66-400: glycolysis VI (metazoan)|g__Escherichia.s__Escherichia_coli	26.1174988352
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	3464.0982932000
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	2490.2617370111
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	76.9386999399
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	60.3481958619
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Escherichia.s__Escherichia_coli	17.1764864644
CALVIN-PWY: Calvin-Benson-Bassham cycle	3442.2157067752
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	2076.1528628441
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Helicobacter.s__Helicobacter_typhlonius	394.4581187802
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Escherichia.s__Escherichia_coli	55.3823019874
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Helicobacter.s__Helicobacter_hepaticus	15.0768669108
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	3397.1383090969
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified	1629.1623629593
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|g__Escherichia.s__Escherichia_coli	25.4115651360
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	3389.5765871025
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified	1223.2010042053
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	641.9388691538
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	510.2362995898
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Escherichia.s__Escherichia_coli	85.7919122841
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	79.3732746623
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	70.4220858226
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	29.6815002282
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	18.7810517322
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	1.6799878160
PWY-4242: pantothenate and coenzyme A biosynthesis III	3321.4165398046
PWY-4242: pantothenate and coenzyme A biosynthesis III|unclassified	1278.9657542749
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_caecimuris	471.8687827309
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Helicobacter.s__Helicobacter_typhlonius	417.0489725553
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Prevotella.s__Prevotella_sp_MGM2	359.6069683393
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_sartorii	260.2932898408
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Alistipes.s__Alistipes_timonensis	48.8107294570
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Muribaculum.s__Muribaculum_intestinale	25.1048004197
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Romboutsia.s__Romboutsia_ilealis	16.6933775731
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Lactobacillus.s__Lactobacillus_murinus	16.0628342167
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Helicobacter.s__Helicobacter_hepaticus	16.0228781150
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Lactobacillus.s__Lactobacillus_reuteri	15.9664371273
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	9.5101994466
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	3319.8262914871
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	2105.6978951532
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	512.1022033842
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	480.0068960547
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	272.8065172336
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Escherichia.s__Escherichia_coli	91.4468096157
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	82.1234783570
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	77.7983027527
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Muribaculum.s__Muribaculum_intestinale	30.2557902227
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Romboutsia.s__Romboutsia_ilealis	27.0082002889
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	21.1596273663
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	20.7221014947
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_hepaticus	17.2358332827
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_apodemus	9.5084136183
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	3319.8262914871
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	2105.6978951532
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	512.1022033842
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	480.0068960547
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	272.8065172336
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Escherichia.s__Escherichia_coli	91.4468096157
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	82.1234783570
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	77.7983027527
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Muribaculum.s__Muribaculum_intestinale	30.2557902227
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Romboutsia.s__Romboutsia_ilealis	27.0082002889
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	21.1596273663
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	20.7221014947
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_hepaticus	17.2358332827
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_apodemus	9.5084136183
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	3276.7477126281
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	1280.1167035962
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_caecimuris	594.9249255346
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_sartorii	289.5608560147
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Parabacteroides.s__Parabacteroides_distasonis	88.6047374828
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Helicobacter.s__Helicobacter_hepaticus	25.7007846275
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Escherichia.s__Escherichia_coli	24.7961854415
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Romboutsia.s__Romboutsia_ilealis	17.2536915343
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	15.1610889633
PWY0-1319: CDP-diacylglycerol biosynthesis II	3218.1268393148
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	1613.0955009194
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	363.6169534252
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	358.1171274899
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	266.1389855751
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Escherichia.s__Escherichia_coli	64.1708362805
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	60.1911406542
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Helicobacter.s__Helicobacter_hepaticus	20.7249017116
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	16.6727873431
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Romboutsia.s__Romboutsia_ilealis	9.5591158095
PWY-5667: CDP-diacylglycerol biosynthesis I	3218.1268393148
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified	1613.0955009194
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	363.6169534252
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_caecimuris	358.1171274899
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii	266.1389855751
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Escherichia.s__Escherichia_coli	64.1708362805
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	60.1911406542
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Helicobacter.s__Helicobacter_hepaticus	20.7249017116
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	16.6727873431
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Romboutsia.s__Romboutsia_ilealis	9.5591158095
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	3179.7868989681
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|unclassified	1241.8736754046
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Bacteroides.s__Bacteroides_caecimuris	544.5253010599
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Helicobacter.s__Helicobacter_typhlonius	383.1421420413
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Bacteroides.s__Bacteroides_sartorii	295.5797049958
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Parabacteroides.s__Parabacteroides_distasonis	79.0051519010
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Escherichia.s__Escherichia_coli	28.5917923242
HISTSYN-PWY: L-histidine biosynthesis	3081.7203006631
HISTSYN-PWY: L-histidine biosynthesis|unclassified	1222.4563141352
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	476.9955169326
HISTSYN-PWY: L-histidine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	397.7983495734
HISTSYN-PWY: L-histidine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	390.3464816371
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	233.0816276224
HISTSYN-PWY: L-histidine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	68.3951774114
HISTSYN-PWY: L-histidine biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	57.3026231290
HISTSYN-PWY: L-histidine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	34.6618150099
HISTSYN-PWY: L-histidine biosynthesis|g__Alistipes.s__Alistipes_timonensis	29.3238183063
HISTSYN-PWY: L-histidine biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	15.9346361305
ARO-PWY: chorismate biosynthesis I	3031.0781166866
ARO-PWY: chorismate biosynthesis I|unclassified	1290.6330489471
ARO-PWY: chorismate biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	79.6359377475
ARO-PWY: chorismate biosynthesis I|g__Escherichia.s__Escherichia_coli	28.3736137925
ARO-PWY: chorismate biosynthesis I|g__Helicobacter.s__Helicobacter_hepaticus	21.9344393013
ARO-PWY: chorismate biosynthesis I|g__Romboutsia.s__Romboutsia_ilealis	16.3246673824
ARO-PWY: chorismate biosynthesis I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	11.7381310600
PWY-5103: L-isoleucine biosynthesis III	3023.8392956900
PWY-5103: L-isoleucine biosynthesis III|unclassified	1033.8433004997
PWY-5103: L-isoleucine biosynthesis III|g__Bacteroides.s__Bacteroides_caecimuris	587.6063491426
PWY-5103: L-isoleucine biosynthesis III|g__Helicobacter.s__Helicobacter_typhlonius	510.2362995898
PWY-5103: L-isoleucine biosynthesis III|g__Escherichia.s__Escherichia_coli	82.6027766839
PWY-5103: L-isoleucine biosynthesis III|g__Parabacteroides.s__Parabacteroides_distasonis	72.1856177608
PWY-5103: L-isoleucine biosynthesis III|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	68.5592620701
PWY-5103: L-isoleucine biosynthesis III|g__Helicobacter.s__Helicobacter_hepaticus	26.0791207487
PWY-5103: L-isoleucine biosynthesis III|g__Mucispirillum.s__Mucispirillum_schaedleri	17.0949989915
PWY-5103: L-isoleucine biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	1.5312616888
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	3017.2269771810
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|unclassified	1736.9775185147
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli	18.3970402245
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	3010.2821999774
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|unclassified	1194.1577353396
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Bacteroides.s__Bacteroides_caecimuris	529.9734057261
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Helicobacter.s__Helicobacter_typhlonius	364.1979244820
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Bacteroides.s__Bacteroides_sartorii	288.4706074234
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Parabacteroides.s__Parabacteroides_distasonis	91.9330647421
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Muribaculum.s__Muribaculum_intestinale	18.2675574403
PWY-7208: superpathway of pyrimidine nucleobases salvage	3009.8335076799
PWY-7208: superpathway of pyrimidine nucleobases salvage|unclassified	2193.6502073389
PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Mucispirillum.s__Mucispirillum_schaedleri	17.4331538984
PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Escherichia.s__Escherichia_coli	9.8638717107
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	2927.0454402879
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|unclassified	1882.0099467659
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Helicobacter.s__Helicobacter_typhlonius	371.2105845297
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	56.5394939934
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Escherichia.s__Escherichia_coli	26.6221485982
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	15.9332723384
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	2922.6549883821
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	1876.0269124535
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Helicobacter.s__Helicobacter_typhlonius	372.8154368312
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	56.5489024651
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Escherichia.s__Escherichia_coli	26.5885508645
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	15.9275359411
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	2912.4109277822
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	1705.5977093755
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Helicobacter.s__Helicobacter_typhlonius	456.2231804532
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	61.7954090916
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Helicobacter.s__Helicobacter_hepaticus	22.0853924028
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Escherichia.s__Escherichia_coli	16.3785634172
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	15.9078781551
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Mucispirillum.s__Mucispirillum_schaedleri	13.1920597635
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	2881.9605916144
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|unclassified	1060.2617644934
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	2848.4129813130
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	968.5394766860
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	416.7061833521
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	235.8560613921
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	61.7903236941
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Alistipes.s__Alistipes_timonensis	40.6229507985
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Escherichia.s__Escherichia_coli	23.0474169466
PWY-5484: glycolysis II (from fructose 6-phosphate)	2827.2053505421
PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified	1411.8021781784
PWY-5484: glycolysis II (from fructose 6-phosphate)|g__Escherichia.s__Escherichia_coli	21.0898691121
PWY-3001: superpathway of L-isoleucine biosynthesis I	2812.6829559661
PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified	906.7297725985
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	408.3476618614
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Escherichia.s__Escherichia_coli	44.0838216571
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Helicobacter.s__Helicobacter_hepaticus	17.1739679481
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	2795.2356980693
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|unclassified	1579.6887550063
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Escherichia.s__Escherichia_coli	13.8653895413
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	2780.3477203630
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified	1086.9172095093
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	80.0940960213
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Helicobacter.s__Helicobacter_hepaticus	24.6697940338
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Romboutsia.s__Romboutsia_ilealis	17.2804973493
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	2764.1068271168
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	906.2545449959
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_caecimuris	415.7431481234
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	341.9019307311
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii	217.4843404658
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	63.3302672000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Alistipes.s__Alistipes_timonensis	62.4146319046
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Escherichia.s__Escherichia_coli	22.4504346559
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Helicobacter.s__Helicobacter_hepaticus	9.6431368704
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	3.0659837418
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	2.3699981032
PWY-6703: preQ0 biosynthesis	2750.8241682867
PWY-6703: preQ0 biosynthesis|unclassified	954.5296093655
PWY-6703: preQ0 biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	515.4134312522
PWY-6703: preQ0 biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	390.7001332579
PWY-6703: preQ0 biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	247.7192102364
PWY-6703: preQ0 biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	92.0225751054
PWY-6703: preQ0 biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	28.1685417741
PWY-6703: preQ0 biosynthesis|g__Escherichia.s__Escherichia_coli	18.5588807058
PWY-6151: S-adenosyl-L-methionine cycle I	2648.4700994826
PWY-6151: S-adenosyl-L-methionine cycle I|unclassified	1481.0946271547
PWY-6151: S-adenosyl-L-methionine cycle I|g__Helicobacter.s__Helicobacter_typhlonius	384.0522890442
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	54.9959378454
PWY-6151: S-adenosyl-L-methionine cycle I|g__Escherichia.s__Escherichia_coli	33.2274731993
PWY-6151: S-adenosyl-L-methionine cycle I|g__Muribaculum.s__Muribaculum_intestinale	26.9466265799
PWY-6151: S-adenosyl-L-methionine cycle I|g__Romboutsia.s__Romboutsia_ilealis	21.9904170306
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lactobacillus.s__Lactobacillus_reuteri	18.6905986286
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lactobacillus.s__Lactobacillus_murinus	17.8913762374
PWY-6151: S-adenosyl-L-methionine cycle I|g__Helicobacter.s__Helicobacter_hepaticus	17.6478941872
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lactobacillus.s__Lactobacillus_johnsonii	15.7244287082
PWY-6151: S-adenosyl-L-methionine cycle I|g__Oscillibacter.s__Oscillibacter_sp_1_3	12.0213710214
HSERMETANA-PWY: L-methionine biosynthesis III	2647.4384965947
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	1513.3389257341
HSERMETANA-PWY: L-methionine biosynthesis III|g__Helicobacter.s__Helicobacter_typhlonius	385.1722255819
HSERMETANA-PWY: L-methionine biosynthesis III|g__Parabacteroides.s__Parabacteroides_distasonis	73.8902426555
HSERMETANA-PWY: L-methionine biosynthesis III|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	57.2274854934
HSERMETANA-PWY: L-methionine biosynthesis III|g__Helicobacter.s__Helicobacter_hepaticus	30.1074036684
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	2585.7163053074
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|unclassified	953.9307904176
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	345.6986901045
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Escherichia.s__Escherichia_coli	16.6013294894
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Helicobacter.s__Helicobacter_hepaticus	13.6207483192
PWY-6168: flavin biosynthesis III (fungi)	2516.4028700857
