# Pathway	test_Satya_Abundance
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	98.8808640558
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	66.3479498783
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	62.9767056960
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	50.6734220277
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	12.0911028103
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_faecichinchillae	2.7695777180
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	3213.0987901735
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	1263.9458514142
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	1141.9123096285
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	176.4575811149
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Muribaculum.s__Muribaculum_intestinale	135.9935159716
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	98.8808640558
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	66.3479498783
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	62.9767056960
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	50.6734220277
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	12.0911028103
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_faecichinchillae	2.7695777180
PWY-4242: pantothenate and coenzyme A biosynthesis III	3147.0211462915
PWY-4242: pantothenate and coenzyme A biosynthesis III|unclassified	1213.3513563822
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Helicobacter.s__Helicobacter_typhlonius	852.2896809048
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	217.9194660057
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Prevotella.s__Prevotella_sp_MGM2	163.9989454638
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Muribaculum.s__Muribaculum_intestinale	121.6653150439
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Prevotella.s__Prevotella_sp_MGM1	79.0419949375
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_caecimuris	58.0505165129
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	54.5732465294
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_sartorii	44.2591034472
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	40.2323240303
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	21.4844437926
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Lactobacillus.s__Lactobacillus_johnsonii	19.2302556425
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Lactobacillus.s__Lactobacillus_reuteri	10.9241378438
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	10.7890267460
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_ASF500	9.9396986585
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	3146.9480647303
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|unclassified	725.1112990704
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Lactobacillus.s__Lactobacillus_johnsonii	16.9841982369
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	3097.6070139726
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	1743.1027444003
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	177.6579451587
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	125.1806511547
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	78.0887650021
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	71.3130120731
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	57.5814601354
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	56.3573705821
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	48.3249941432
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	47.6666954772
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	3080.8985690156
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified	1936.1704339208
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	47.9382267297
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	11.8608974795
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_faecichinchillae	3.1133810037
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	3062.6710671065
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified	1530.0189600809
PWY-5097: L-lysine biosynthesis VI	3041.7020005275
PWY-5097: L-lysine biosynthesis VI|unclassified	1549.0720160049
PWY-5097: L-lysine biosynthesis VI|g__Helicobacter.s__Helicobacter_typhlonius	757.7815714227
PWY-5097: L-lysine biosynthesis VI|g__Muribaculum.s__Muribaculum_intestinale	121.9647086751
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_caecimuris	79.1911976175
PWY-5097: L-lysine biosynthesis VI|g__Parabacteroides.s__Parabacteroides_distasonis	72.3193126884
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_uniformis	57.9910216818
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_sartorii	36.3438004860
PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	19.7469314421
PWY-5097: L-lysine biosynthesis VI|g__Lactobacillus.s__Lactobacillus_johnsonii	13.8828544439
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	3027.6414268991
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	1722.5117206816
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	47.7682647956
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	10.6846552712
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_faecichinchillae	2.5609248183
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	3019.8848129260
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	1524.0489485351
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Helicobacter.s__Helicobacter_typhlonius	862.0623945840
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	30.3503008836
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	3011.7432602067
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|unclassified	1525.1522480040
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Helicobacter.s__Helicobacter_typhlonius	857.1820660992
PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	30.2176920651
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	3002.5097090402
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	1304.7961065103
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Helicobacter.s__Helicobacter_typhlonius	739.9960889071
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	180.7886274394
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Parabacteroides.s__Parabacteroides_distasonis	62.9114542671
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_sartorii	60.1493956498
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_caecimuris	43.9768213552
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Mucispirillum.s__Mucispirillum_schaedleri	34.7286139798
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	32.4453924913
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	7.3979858957
HISTSYN-PWY: L-histidine biosynthesis	2975.7657861968
HISTSYN-PWY: L-histidine biosynthesis|unclassified	1016.7704626831
HISTSYN-PWY: L-histidine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	848.9272461906
HISTSYN-PWY: L-histidine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM2	196.0522183834
HISTSYN-PWY: L-histidine biosynthesis|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	172.1237314786
HISTSYN-PWY: L-histidine biosynthesis|g__Muribaculum.s__Muribaculum_intestinale	125.1368764232
HISTSYN-PWY: L-histidine biosynthesis|g__Prevotella.s__Prevotella_sp_MGM1	80.1349697634
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_caecimuris	58.6664473911
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	55.0417439587
HISTSYN-PWY: L-histidine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	49.0301290221
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	43.8069860345
HISTSYN-PWY: L-histidine biosynthesis|g__Mucispirillum.s__Mucispirillum_schaedleri	36.3812618642
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	31.8274975094
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_faecichinchillae	4.8335617331
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	2940.4104516955
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|unclassified	1278.4583580651
PWY-6151: S-adenosyl-L-methionine cycle I	2924.2647592799
PWY-6151: S-adenosyl-L-methionine cycle I|unclassified	894.5823900072
PWY-6151: S-adenosyl-L-methionine cycle I|g__Helicobacter.s__Helicobacter_typhlonius	871.9593253455
PWY-6151: S-adenosyl-L-methionine cycle I|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	189.5928575466
PWY-6151: S-adenosyl-L-methionine cycle I|g__Muribaculum.s__Muribaculum_intestinale	142.7358537463
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_uniformis	84.6467462661
PWY-6151: S-adenosyl-L-methionine cycle I|g__Prevotella.s__Prevotella_sp_MGM1	66.0969307510
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	59.7687848441
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_A4	40.4106052496
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lactobacillus.s__Lactobacillus_johnsonii	18.8981603576
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lactobacillus.s__Lactobacillus_reuteri	7.8868284037
PWY-6151: S-adenosyl-L-methionine cycle I|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	6.7664059665
PWY-5104: L-isoleucine biosynthesis IV	2922.0259635441
PWY-5104: L-isoleucine biosynthesis IV|g__Helicobacter.s__Helicobacter_typhlonius	1157.1104343845
PWY-5104: L-isoleucine biosynthesis IV|unclassified	856.1233672248
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	2908.6349154892
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	1071.1829019089
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Helicobacter.s__Helicobacter_typhlonius	789.9413671832
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Prevotella.s__Prevotella_sp_MGM2	174.3839433107
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_sartorii	54.2106498008
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_uniformis	49.0644998548
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Parabacteroides.s__Parabacteroides_distasonis	47.5549541653
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_caecimuris	36.1235348296
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	35.5811622932
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	24.0424502190
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Lactobacillus.s__Lactobacillus_johnsonii	20.4283153761
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Lactobacillus.s__Lactobacillus_reuteri	9.7882925491
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	2833.7542475599
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|unclassified	1184.8350422189
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	2828.1414832347
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|unclassified	1261.1054682462
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Helicobacter.s__Helicobacter_typhlonius	777.8530776320
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Bacteroides.s__Bacteroides_caecimuris	60.5470106590
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Parabacteroides.s__Parabacteroides_distasonis	60.3776011962
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Bacteroides.s__Bacteroides_sartorii	52.3825671118
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Bacteroides.s__Bacteroides_uniformis	51.2517326877
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	49.3896641717
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	2827.8655574818
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	1194.9424230944
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified	504.6680104380
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Mucispirillum.s__Mucispirillum_schaedleri	69.9299831431
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Lactobacillus.s__Lactobacillus_johnsonii	19.4857934699
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Lactobacillus.s__Lactobacillus_murinus	13.1227780237
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	10.2570436507
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	8.5722740782
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Lactobacillus.s__Lactobacillus_intestinalis	8.2847537204
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Bifidobacterium.s__Bifidobacterium_pseudolongum	6.4561607633
PWY-5667: CDP-diacylglycerol biosynthesis I	2810.8737904026
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified	1163.6730388332
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	757.0935983862
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	169.5423297653
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Mucispirillum.s__Mucispirillum_schaedleri	89.8757926262
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii	52.4081685929
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	48.4597259774
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_caecimuris	43.7418366750
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	40.5776059455
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	34.1628351959
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	25.1923243349
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	10.6183365135
PWY0-1319: CDP-diacylglycerol biosynthesis II	2810.8737904026
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	1163.6730388332
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	757.0935983862
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	169.5423297653
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	89.8757926262
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	52.4081685929
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	48.4597259774
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_caecimuris	43.7418366750
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	40.5776059455
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	34.1628351959
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	25.1923243349
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	10.6183365135
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	2805.1159716120
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|unclassified	1087.8325589078
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Helicobacter.s__Helicobacter_typhlonius	840.4987423880
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Muribaculum.s__Muribaculum_intestinale	139.6287949592
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Bacteroides.s__Bacteroides_sartorii	61.9512229607
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Parabacteroides.s__Parabacteroides_distasonis	59.4204124075
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Mucispirillum.s__Mucispirillum_schaedleri	51.8802264307
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Bacteroides.s__Bacteroides_caecimuris	41.1337249514
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Bacteroides.s__Bacteroides_uniformis	39.1402705862
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	7.7270334955
ARO-PWY: chorismate biosynthesis I	2784.0207103410
ARO-PWY: chorismate biosynthesis I|unclassified	1248.9898534151
ARO-PWY: chorismate biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	765.8889770405
ARO-PWY: chorismate biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	56.0739155729
ARO-PWY: chorismate biosynthesis I|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	28.6574205458
CALVIN-PWY: Calvin-Benson-Bassham cycle	2746.7153790023
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	1058.5265671260
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Helicobacter.s__Helicobacter_typhlonius	815.5131156494
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	2706.8927146298
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II|unclassified	1645.8503827220
PWY66-400: glycolysis VI (metazoan)	2675.6626124480
PWY66-400: glycolysis VI (metazoan)|unclassified	1576.9404089742
PWY-3001: superpathway of L-isoleucine biosynthesis I	2647.7517588947
PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified	913.3326870098
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	877.0418339734
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	2567.0312109382
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Helicobacter.s__Helicobacter_typhlonius	1024.4582473939
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|unclassified	876.2201950650
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Mucispirillum.s__Mucispirillum_schaedleri	91.7368749288
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	2555.5716510328
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified	1143.5570490831
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	780.0414631409
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	55.8025042418
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	2543.3677762658
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	1484.3090346063
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	2542.3554947720
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	1008.3014013695
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	878.4374385708
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	53.9214523050
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_sartorii	41.4764140105
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	33.7745816613
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	29.9541337963
GLUTORN-PWY: L-ornithine biosynthesis	2521.8147690076
GLUTORN-PWY: L-ornithine biosynthesis|unclassified	1064.2037113235
GLUTORN-PWY: L-ornithine biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	912.0455147334
GLUTORN-PWY: L-ornithine biosynthesis|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	22.9085795889
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	2491.7529328764
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|g__Helicobacter.s__Helicobacter_typhlonius	928.3706576701
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis|unclassified	659.4770848074
PWY-3781: aerobic respiration I (cytochrome c)	2444.8597302191
PWY-3781: aerobic respiration I (cytochrome c)|g__Helicobacter.s__Helicobacter_typhlonius	1617.1486740482
PWY-3781: aerobic respiration I (cytochrome c)|unclassified	352.0687310019
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	2426.1588188083
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|unclassified	845.1674309684
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	759.1512275517
PWY-6168: flavin biosynthesis III (fungi)	2404.3094777904
PWY-6168: flavin biosynthesis III (fungi)|g__Helicobacter.s__Helicobacter_typhlonius	756.8624115442
PWY-6168: flavin biosynthesis III (fungi)|unclassified	487.6957800972
PWY-6168: flavin biosynthesis III (fungi)|g__Bacteroides.s__Bacteroides_sartorii	59.8869264150
PWY-6168: flavin biosynthesis III (fungi)|g__Parabacteroides.s__Parabacteroides_distasonis	49.9364183720
PWY-6168: flavin biosynthesis III (fungi)|g__Bacteroides.s__Bacteroides_caecimuris	39.1027634608
PWY-5484: glycolysis II (from fructose 6-phosphate)	2395.0086167107
PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified	1203.5783639228
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	2323.0076100139
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	764.3206714589
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	750.9841482479
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_caecimuris	69.9799208320
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	49.2352956264
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii	46.0216115381
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	41.7589116419
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	41.4824104256
HSERMETANA-PWY: L-methionine biosynthesis III	2262.1524169915
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	1041.6340858408
HSERMETANA-PWY: L-methionine biosynthesis III|g__Helicobacter.s__Helicobacter_typhlonius	836.6880524073
HSERMETANA-PWY: L-methionine biosynthesis III|g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720	186.7589296538
